Mode,Conversation,Exchange,Experiment,Q,A,Notes,BA1,BA2,BA3,BA4,BA5,BA6
PER,1,1,TRAIN,Hello.,Hi.,,Hello!,Hey!,Hi!,,,
PER,1,2,TRAIN,Are you a student here?,Where here?,,I just graduated from New York University Abu Dhabi!,I graduated in May 2019.,,,,
PER,1,3,TRAIN,At NYU.,So I'm a student at NYU Abu Dhabi. I'm a senior.,,I just graduated from New York University Abu Dhabi!,I graduated in May 2019.,,,,
PER,1,4,TRAIN,What do you study?,"I study music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering.",,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering.",,,,,
PER,1,5,TRAIN,What's your favorite kind of music?,I love all types of music. I feel like it depends on the piece. I love dubstep. I love electronic music. I also like ballads like the music that I write usually comes out very sad and romantic and like a pop song. So the music I write and the music I listen to are quite different.,,"I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes.","My music has been influenced by Western pop, classical and electronic music.",,,,
PER,1,6,TRAIN,Who are your favorite musicians?,"I like Zedd. I like quite a few of them but I have a weakness. I'm bad with names so even my favorite music - I don't always pay attention to who made it, which is kind of ridiculous. We don't really buy albums of the same artist either. So it's just song by song.",,"I like Zedd, Hozier, the band ""Hundred Waters"", Pentatonix etc.",Definitely Pentatonix.,,,,
PER,1,7,TRAIN,Yes interesting. You're also taking economics. Is that another interest of yours? Or ...?,So economics is my minor. It would have been originally a double major. But I did not have time to complete all credits because I did an internship in New York!,,"Music completes this artistic and techie side of me because I studied composition and sound engineering, but economics fulfilled my social and analytical side, because I wanted to learn about how to make an impact in the world and I love math.",,,,,
PER,1,8,TRAIN,Are there any other interests outside those two? Music and economics.,"I love drawing sometimes but abstract, basically doodling. I love volleyball and biking a lot and I am very interested in negotiation as a science and the aspects of communication.",,"I love drawing sometimes, but abstract shapes, basically doodling. I love volleyball and biking a lot and I am very interested in negotiation as a science and the aspects of communication.","I love volleyball, biking, boxing and rock-climbing.",,,,
PER,1,9,TRAIN,So how long have you been in the UAE?,So I have been here since four years ago but not all the time. If you put all the time together it's probably less than two years because of study abroad.,,"So I came here four years ago, but because of all the traveling probably two years in total.",,,,,
PER,1,10,TRAIN,So you were never here originally. Where were you originally?,So I'm originally from Moldova which is an Eastern European country. It's between Romania and Ukraine and I've lived most of my life there.,,"I'm from Moldova, a small country in Eastern Europe.",,,,,
PER,1,11,TRAIN,You visited other countries other than the UAE and Moldova?,Yes. I've actually had an exchange year abroad before Abu Dhabi. I've been... I lived in Wisconsin for a year and after studying at NYU Abu Dhabi I got a chance to study abroad in Buenos Aires and New York for a semester each and then I did a month in Paris and a month in Shanghai.,,"I've been to Buenos Aires and New York for a semester each and I've done two January terms, in Shanghai and Paris.",,,,,
PER,1,12,TRAIN,Which one's your favorite or most memorable I guess?,My favorite place ever is New York. I just see myself there in the future but I never actually think of myself as finding one place and living there all my life. I feel like I would never be able to live more than 10 years in the same place though.,,My favorite country was Argentina!,My favorite place ever is New York. I hope to get back there at some point. I just love how vibrant the city is and there's always something to do and people are just the right amount of polite and minding their own business.,,,,
PER,1,13,TRAIN,10 years is still a long time I guess.,Yeah. But not for other people. Traditionally no ... People live their whole lives in the same place.,,Kind of.,Sure.,,,,
PER,1,14,TRAIN,What about New York that just stands out for you?,"I feel like New York is very vibrant. Everything is happening there. It's the hub of music, both the music industry and the finance world. Exactly and just I love the architecture. It's very it's quite futuristic even though some people might say it's dirty in some places but I love that it's always awake and people aren't overly polite nor actually overly rude because Eastern Europeans are quite cold in general. So I felt like it was a great balance. And there are many many people and so many diverse people and languages and so many cultures.",,My favorite place ever is New York. I hope to get back there at some point. I just love how vibrant the city is and there's always something to do and people are just the right amount of polite and minding their own business.,,,,,
PER,1,15,TRAIN,So what else can I ask you about?,So you can ask me about my family or my career plans or the sports that I like or anything.,,You can ask me about my family or about my passions. Anything you want.,"You can ask me about my favorite food, or my friends, or the sports that I like!",You can ask me about the languages that I speak or my experiences in music.,,,
PER,1,16,TRAIN,So your career plans. What do you plan doing after graduating? What is plan A?,I'm thinking of either doing a masters degree or applying for jobs for consulting. I'm applying right now and I'm also thinking of getting maybe a job composing music and being a sound engineer. But that's my third preference.,,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!",I would love to get an MBA!,,,,
PER,1,17,TRAIN,And your graduate degree would be in music or economics?,I'm hoping to get an MBA.,,I would love to get an MBA!,,,,,
PER,1,18,TRAIN,I mean you could combine both I guess. What do you think about doing both at the same time?,"I think the MBA would give me a chance to do anything I want in the future. Because I just specialized into a field, in music, and I've done some economics as well. So I feel like I have enough quantitative knowledge to jump into an MBA but also it will help me use my music knowledge into creating maybe a business or solidify the music industry of Moldova.",,For sure!,,,,,
PER,1,19,TRAIN,Or creating your own productions to do...,Exactly I could do anything.,,(Silent nod),,,,,
PER,1,20,TRAIN,Tell me about your family. Do you have any siblings?,"So my family consists of four people. It's my mom, my dad and my brother. My brother is five years older and he is a computer scientist and he's in Moldova right now.",,"So my family consists of four people. It's my mom, my dad and my brother. My brother is older and he is a software engineer in Moldova.",I have a brother.,,,,
PER,1,21,TRAIN,Are any of your family also interested in music as well?,"Not exactly, none of my parents like ... or do anything in music per se. They had some musical education, but not much. And my my dad's kinda working in the law, my mom's a doctor, my brother is doing CS and so I just basically have a broad family. I'm very interested in negotiating.",,"Not really, but my mom and grandma used to like to sing.",,,,,
PER,1,22,TRAIN,You said your brother is CS. Is he a programmer? Or is he more on the academic side?,"My brother's a software developer. When he was like 13 and I was 8, he was already creating software for me to cheat on Web sites of games to have the highest score. So it kind of started there and every year something else would come up that I needed help with and he would help me out.",,My brother is a programmer.,,,,,
PER,1,23,TRAIN,Would you say you discovered electronic music production or something though him or was it something on your own?,He doesn't actually like music as heavy as I do. I always loved music and it kind of went into this uniqueness of all these things.,,My family doesn't actually like music as heavily as I do. I always loved music and it became my unique thing.,,,,,
PER,1,24,TRAIN,It was nice meeting you.,It was so nice to meet you too! Thank you for talking to me!,,Nice to meet you too!,Likewise! Thank you for talking to me!,,,,
PER,2,1,TRAIN,So my name's Salam. I work in the computational linguistics lab in the computer science. And I'm going to ask you some questions today to get to know you.,Nice to meet you.,,Hello!,Hey!,Hi!,Nice to meet you!,,
PER,2,2,TRAIN,Thank you. So what's your name?,I am Margarita.,,My name is Margarita.,,,,,
PER,2,3,TRAIN,Nice to meet you.,Nice to meet you too.,,Nice to meet you too!,,,,,
PER,2,4,TRAIN,Do you study here?,I go to NYU Abu Dhabi.,,I just graduated from New York University Abu Dhabi!,I graduated in May 2019.,,,,
PER,2,5,TRAIN,OK.,What about you?,,(Silent nod),,,,,
PER,2,6,TRAIN,I finish my studies but I work here.,OK.,,(Silent nod),,,,,
PER,2,7,TRAIN,Yes. Where where are you from?,I am from Moldova. It's a small country in Eastern Europe between Romania and Ukraine.,,"I'm from Moldova, a small country in Eastern Europe.",,,,,
PER,2,8,TRAIN,"OK, nice. How long have you been here?",I've been here for four years. This is my senior year.,,"So I came here four years ago, but because of all the traveling probably two years in total.",,,,,
PER,2,9,TRAIN,It's nice. What was your major?,I study music and economics. So in music I study composition and technology and economics is just my minor.,,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering.",,,,,
PER,2,10,TRAIN,Oh that's nice.,Thank you!,,Thanks.,,,,,
PER,2,11,TRAIN,So have you had any programming courses?,"I took one Intro to Computer Science class. I studied a little bit of Python and that was great, but I had to pass fail the class because I wasn't doing as great as I thought I would. My brother's a computer scientist as well.",,I took one Intro to Computer Science class in which I studied the basics of Python.,,,,,
PER,2,12,TRAIN,That's nice. So I think that you have infused programming in your... I don't know - New projects throughout since you studied music technology composition.,I have used the programming in the way that I used python for one of my business classes in Negotiating because I would have to negotiate deals with people and I would have to manipulate big numbers right away and I did not have time for that. So I created my own calculator through Python that would do that for me.,,I have used programming in one of my business classes in which I had to negotiate deals and needed to manipulate big numbers on the spot and I did not have time for that. So I created my own calculator through Python.,,,,,
PER,2,14,TRAIN,So are you... Did you start your Capstone?,"So my capstone ... I started my capstone since the beginning of fall and it is... it will be about combining Romanian music with Dubstep music, composing both and combining them.",,Yes.,I took a Romanian folk song and created two versions of it mixed with Dubstep!,,,,
PER,2,15,TRAIN,"I was about to ask, are you going to use any of your cultural background in your capstone... What about languages? How many languages do you speak?",I speak five languages. So my first language is Romanian and Russian. And then I learned French and English at school and recently I learned Spanish.,,"I speak Romanian, Russian, French, English and Spanish.","I speak five languages: Romanian, Russian, French, English and Spanish.",,,,
PER,2,16,TRAIN,"Oh, nice. Have You learned Arabic?",I did not have time to learn Arabic. It's a beautiful language and I wish I studied it.,,"No, I didn't learn Arabic. But I learned Spanish instead!",,,,,
PER,2,17,TRAIN,Indeed. And what do you think of Arabic music?,"I think Arabic music is very intricate and it sounds exotic to me... Because I do not know that much about it, but I think it is very rich and beautiful.",,"I find it beautiful, although I haven't learned much about it.",,,,,
PER,2,18,TRAIN,OK. And what you want to do after you graduate?,"After I graduate. I have many different plans, either to continue my studies at grad school and get my masters degree or go into consulting or get a job in the music industry, hopefully composition and technology.",,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!",I would love to get an MBA!,,,,
PER,2,19,TRAIN,And what would you do if you work in the consulting industry?,I would just do whatever that job is supposed to do... I would be solving problems of other companies. I like consulting particularly because I love interacting with people and I have a very problem solving oriented mindset and I love helping out so I feel like it would be a good match for me even though I focused on music until now.,,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!",,,,,
PER,2,20,TRAIN,That's nice.,Thank you.,,Thanks.,Thanks!,,,,
PER,2,21,TRAIN,And what master would you get if you go into grad school?,I was thinking of getting an MBA - Masters of Business Administration - so I could combine my music and econ knowledge and hopefully restructure the music industry of Moldova in the future. So an MBA would help me a lot.,,I would love to get an MBA!,,,,,
PER,2,22,TRAIN,That's nice. So are you planning to go to grad school back in Moldova? If you go.,"I'm planning to go to grad school in New York, with the only grad school I'm applying and I do not see my future in Moldova. I see myself maybe passing through from time to time to see my family and friends but I would rather bring my family my small family of four people with me abroad than have to come back home.",,Not at all.,,,,,
PER,2,23,TRAIN,It's nice. What else can I ask you about?,You can ask me about my family or about my passions. Anything you want.,,You can ask me about my family or about my passions. Anything you want.,"You can ask me about my favorite food, or my friends, or the sports that I like!",You can ask me about the languages that I speak or my experiences in music.,,,
PER,2,24,TRAIN,Do you have siblings who study in New York or Abu Dhabi?,I have a sibling. He is five years older. He is a computer scientist and he lives in Moldova.,,I don't.,I don't.,,,,
PER,2,25,TRAIN,OK. And I assume the others are younger than you.,I only have one sibling.,,"So my family consists of four people. It's my mom, my dad and my brother. My brother is older and he is a software engineer in Moldova.",,,,,
PER,2,26,TRAIN,"Oh okay, sorry..",No worries... What about you?,,No Worries. Take your time.,,,,,
PER,2,27,TRAIN,My siblings?,Sure!,,Sure.,,,,,
PER,2,28,TRAIN,I have two siblings a brother and sister.,That's cool.,,(Silent nod),,,,,
PER,2,29,TRAIN,Yes. So have you been to different places in the UAE?,I have been to only Abu Dabi and Dubai.,,"I have only been to Abu Dhabi, Dubai and Ras Al Khaimah.",,,,,
PER,2,30,TRAIN,All those four years?,"I wish I could see more places, but I'm not too crazy about visiting places for a brief period of time. I prefer that if I go somewhere that I spend at least half a year there or at least a month and so I am not quite passionate about short trips because they exhaust me, so I guess... I don't hate them. I don't have the incentive to do it.",,"I wish I could see more places, but I'm not too crazy about traveling for brief periods of time. I prefer spending at least a month or half a year in a new place.",,,,,
PER,2,31,TRAIN,So where did you go for your study away semester?,For my study aways I've been to Buenos Aires and New York.,,"I've been to Buenos Aires and New York for a semester each and I've done two January terms, in Shanghai and Paris.",,,,,
PER,2,32,TRAIN,"Oh, nice.",But I've done J-terms in Shanghai and Paris.,,(Silent nod),,,,,
PER,2,33,TRAIN,"Uh, nice! Did You like .. Which was your most favorite place of all of those places?","New York was definitely my most favorite place on earth and that's why I hope that in the future I'll be able to go back but I will have to sort out the visa issue and all that because I have... hum, I am a citizen of Moldova which is not the European Union so it will be tough to get a visa.",,My favorite place ever is New York. I hope to get back there at some point. I just love how vibrant the city is and there's always something to do and people are just the right amount of polite and minding their own business.,My favorite country was Argentina!,,,,
PER,2,34,TRAIN,Inshallah,Thanks,,Inshallah.,,,,,
PER,2,35,TRAIN,hum ....,No Worries. Take your time.,,No Worries. Take your time.,,,,,
