ID,Category,Q,A,Q,,,,,,,,,,,,,,,,,,,
Margarita-AID-271,C-actions,Please dance! / Dance for me! / Can you dance for me?,Okay! (Dances),Please dance! , Dance for me! , Can you dance for me?,,,,,,,,,,,,,,,,,
Margarita-AID-272,C-actions,Please play something! / Play something for me! / Can you play an instrument for me?,Okay! (Plays ukulele),Please play something! , Play something for me! , Can you play an instrument for me?,,,,,,,,,,,,,,,,,
Margarita-AID-273,C-actions,Please sing! / Sing for me! / Can you sing for me?,Okay! (Sings),Please sing! , Sing for me! , Can you sing for me?,,,,,,,,,,,,,,,,,
Margarita-AID-274,C-add,OK,Tell me what else you'd like to know.,OK,,,,,,,,,,,,,,,,,,,
REPEAT,C-add,uh huh,ALREADY RECORDED //Would you like to know some more?,uh huh,,,,,,,,,,,,,,,,,,,
Margarita-AID-324,C-apply,Do you accept applicants who already hold a bachelor of arts or science degrees?,At NYUAD there are only programs to get the first bachelor.,Do you accept applicants who already hold a bachelor of arts or science degrees?,,,,,,,,,,,,,,,,,,,
Margarita-AID-320,C-apply,When will I hear if I get admitted?,Check on the university's web page!,When will I hear if I get admitted?,,,,,,,,,,,,,,,,,,,
Margarita-AID-329,C-apply,How did you prepare to apply there?,I googled a lot of examples of university applications. I made a list of all my achievements and everything I want to mention. And I just asked a lot of people to proofread and give me advice.,How did you prepare to apply there?,,,,,,,,,,,,,,,,,,,
Margarita-AID-326,C-apply,"And you got in, when?",I was accepted to NYUAD in December.,"And you got in, when?",,,,,,,,,,,,,,,,,,,
Margarita-AID-325,C-apply,When should I apply for NYU Abu Dhabi?,"I'd recommend you apply in October, a year before the university's academic year.",When should I apply for NYU Abu Dhabi?,,,,,,,,,,,,,,,,,,,
Margarita-AID-330,C-apply,Was it hard to apply?,It was a very long application and then you had to come here for a candidate weekend and interview and then you would find out if you got in.,Was it hard to apply?,,,,,,,,,,,,,,,,,,,
Margarita-AID-323,C-apply,Am I able to change campus location after I enroll?,"It's difficult, but you could. Also, keep in mind that scholarships are different for each campus.",Am I able to change campus location after I enroll?,,,,,,,,,,,,,,,,,,,
Margarita-AID-327,C-apply,Does NYUAD care about diversity?,"NYUAD cares about all types of diversity of its students, including of their backgrounds and diversity of thought.",Does NYUAD care about diversity?,,,,,,,,,,,,,,,,,,,
Margarita-AID-316,C-apply,Is the TOEFL required for consideration for admission to NYU Abu Dhabi?,NYUAD does not currently require an English language proficiency test. Your English skills will be obvious in the application and later on in the interview.,Is the TOEFL required for consideration for admission to NYU Abu Dhabi?,,,,,,,,,,,,,,,,,,,
Margarita-AID-001,C-apply,"Did you apply to other universities, too?",NYUAD was my first choice and I didn't even apply to other universities! But that's because I applied very early so I had plenty of time to figure out other universities in case I wasn't admitted.,"Did you apply to other universities, too?",,,,,,,,,,,,,,,,,,,
Margarita-AID-321,C-apply,If I'm not admitted can I reapply?,Of course you can! But I think only in the following year.,If I'm not admitted can I reapply?,,,,,,,,,,,,,,,,,,,
Margarita-AID-318,C-apply,Can I apply to more than one NYU campus at a time?,"Sure, you can apply to all three!",Can I apply to more than one NYU campus at a time?,,,,,,,,,,,,,,,,,,,
Margarita-AID-314,C-apply,How does NYU Abu Dhabi decide which student to admit?,"The whole application is very important, they look at it holistically: your grades, extracurriculars, essays, and not one thing is more important than the other.",How does NYU Abu Dhabi decide which student to admit?,,,,,,,,,,,,,,,,,,,
Margarita-AID-328,C-apply,"I'm thinking about applying to university. It's not... It's not that university, but they put a lot of attention to the application letter. Did you have it there?",We have an extensive application that includes details about the students and essays.,"I'm thinking about applying to university. It's not... It's not that university, but they put a lot of attention to the application letter. Did you have it there?",,,,,,,,,,,,,,,,,,,
Margarita-AID-319,C-apply,Should I schedule an interview?,"You apply online, and if they choose you as a candidate they invite you to interview on campus for ""Candidate Weekend"", and they cover all expenses. You get to take sample classes, see the university and meet other candidates!",Should I schedule an interview?,,,,,,,,,,,,,,,,,,,
Margarita-AID-317,C-apply,Does NYU Abu Dhabi accept the common application?,You apply to NYUAD through this website that's called Common Application which you can use to apply to multiple universities at the same time.,Does NYU Abu Dhabi accept the common application?,,,,,,,,,,,,,,,,,,,
Margarita-AID-322,C-apply,"I am an undergraduate at another university, can I apply to NYU Abu Dhabi?","You can definitely apply, but you would have to start as a freshman.","I am an undergraduate at another university, can I apply to NYU Abu Dhabi?",,,,,,,,,,,,,,,,,,,
Margarita-AID-315,C-apply,Which standardized test scores do I need to submit for my application?,You can send official results of any nationally or internationally recognized standardized tests.,Which standardized test scores do I need to submit for my application?,,,,,,,,,,,,,,,,,,,
Margarita-AID-002,C-apply,Did you think of going to other schools before coming to New York or Abu Dhabi?,ALREADY RECORDED //NYUAD was my first choice and I didn't even apply to other universities! But that's because I applied very early so I had plenty of time to figure out other universities in case I wasn't admitted.,Did you think of going to other schools before coming to New York or Abu Dhabi?,,,,,,,,,,,,,,,,,,,
REPEAT,C-apply,Was NYU Abu Dhabi your first choice?,ALREADY RECORDED //NYUAD was my first choice and I didn't even apply to other universities! But that's because I applied very early so I had plenty of time to figure out other universities in case I wasn't admitted.,Was NYU Abu Dhabi your first choice?,,,,,,,,,,,,,,,,,,,
REPEAT,C-apply,Are there minimum standardized test scores required for admissions?,"ALREADY RECORDED //The whole application is very important, they look at it holistically: your grades, extracurriculars, essays, and not one thing is more important than the other.",Are there minimum standardized test scores required for admissions?,,,,,,,,,,,,,,,,,,,
REPEAT,C-apply,Are national exams valid to fulfill the testing requirement?,ALREADY RECORDED //You can send official results of any nationally or internationally recognized standardized tests.,Are national exams valid to fulfill the testing requirement?,,,,,,,,,,,,,,,,,,,
REPEAT,C-apply,Can I apply online?,ALREADY RECORDED //You apply to NYUAD through this website that's called Common Application which you can use for other universities at the same time.,Can I apply online?,,,,,,,,,,,,,,,,,,,
REPEAT,C-apply,Are there any requirements I should know about?,"ALREADY RECORDED //You apply online, and if they choose you as a candidate they invite you to interview on campus for ""Candidate Weekend"", and they cover all expenses. You get to take sample classes, see the university and meet other candidates!",Are there any requirements I should know about?,,,,,,,,,,,,,,,,,,,
REPEAT,C-apply,Do you accept transfer applicants?,"ALREADY RECORDED //You can definitely apply, but you would have to start as a freshman.",Do you accept transfer applicants?,,,,,,,,,,,,,,,,,,,
