,index,ID,Category,Context,Utterance
0,0,Margarita-AID-271,C-actions,Please dance!,Okay! (Dances)
1,1,Margarita-AID-271,C-actions,Dance for me!,Okay! (Dances)
2,2,Margarita-AID-271,C-actions,Can you dance for me?,Okay! (Dances)
3,3,Margarita-AID-272,C-actions,Please play something!,Okay! (Plays ukulele)
4,4,Margarita-AID-272,C-actions,Play something for me!,Okay! (Plays ukulele)
5,5,Margarita-AID-272,C-actions,Can you play an instrument for me?,Okay! (Plays ukulele)
6,6,Margarita-AID-273,C-actions,Please sing!,Okay! (Sings)
7,7,Margarita-AID-273,C-actions,Sing for me!,Okay! (Sings)
8,8,Margarita-AID-273,C-actions,Can you sing for me?,Okay! (Sings)
9,9,Margarita-AID-274,C-add,OK,Tell me what else you'd like to know.
10,10,REPEAT,C-add,uh huh,Would you like to know some more?
11,11,Margarita-AID-324,C-apply,Do you accept applicants who already hold a bachelor of arts or science degrees?,At NYUAD there are only programs to get the first bachelor.
12,12,Margarita-AID-320,C-apply,When will I hear if I get admitted?,Check on the university's web page!
13,13,Margarita-AID-329,C-apply,How did you prepare to apply there?,I googled a lot of examples of university applications. I made a list of all my achievements and everything I want to mention. And I just asked a lot of people to proofread and give me advice.
14,14,Margarita-AID-326,C-apply,"And you got in, when?",I was accepted to NYUAD in December.
15,15,Margarita-AID-325,C-apply,When should I apply for NYU Abu Dhabi?,"I'd recommend you apply in October, a year before the university's academic year."
16,16,Margarita-AID-330,C-apply,Was it hard to apply?,It was a very long application and then you had to come here for a candidate weekend and interview and then you would find out if you got in.
17,17,Margarita-AID-323,C-apply,Am I able to change campus location after I enroll?,"It's difficult, but you could. Also, keep in mind that scholarships are different for each campus."
18,18,Margarita-AID-327,C-apply,Does NYUAD care about diversity?,"NYUAD cares about all types of diversity of its students, including of their backgrounds and diversity of thought."
19,19,Margarita-AID-316,C-apply,Is the TOEFL required for consideration for admission to NYU Abu Dhabi?,NYUAD does not currently require an English language proficiency test. Your English skills will be obvious in the application and later on in the interview.
