ConversationID,Q,A,SecondBestAnswer,ThirdBestAnswer,FourthBestAnswer,FifthBestAnswer,SixthBestAnswer
1,Hello.,Hi.,,,,,
1,Are you a student here?,Where here?,Yes.,Yes I'm a senior now. I'm working on my capstone.,,,
1,At NYU.,So I'm a student at NYU Abu Dhabi. I'm a senior.,Yes.,Yes I'm a senior now. I'm working on my capstone.,,,
1,What do you study?,"I study music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering.",I'm a music major and economics minor.,I study music and economics. So in music I study composition and technology and economics is just my minor.,,,
1,What's your favorite kind of music?,I love all types of music. I feel like it depends on the piece. I love dubstep. I love electronic music. I also like ballads like the music that I write usually comes out very sad and romantic and like a pop song. So the music I write and the music I listen to are quite different.,,,,,
1,Who are your favorite musicians?,"I like Zedd. I like quite a few of them but I have a weakness. I'm bad with names so even my favorite music - I don't always pay attention to who made it, which is kind of ridiculous. We don't really buy albums of the same artist either. So it's just song by song.",,,,,
1,Yes interesting. You're also taking economics. Is that another interest of yours? Or ...?,So economics is my minor. It would have been originally a double major. But I did not have time to complete everything so I had to choose. But I mainly did economics because first of all I wanted to have a plan B. And second of all I always loved mathematics so it seemed natural that my Plan B could be something lucrative and that involves my passion.,I'm a music major and economics minor.,,,,
1,Are there any other interests outside those two? Music and economics.,"I love drawing sometimes but abstract, basically doodling. I love volleyball and biking a lot and I am very interested in negotiation as a science and the aspects of communication.",,,,,
1,So how long have you been in the UAE?,So I have been here since four years ago but not all the time. If you put all the time together it's probably less than two years because of study abroad.,I've been here for four years. This is my senior year.,,,,
1,So you were never here originally. Where were you originally?,So I'm originally from Moldova which is an Eastern European country. It's between Romania and Ukraine and I've lived most of my life there.,"I'm from Moldova, a small country in Eastern Europe.",So I'm originally from Moldova which is an Eastern European country. It's between Romania and Ukraine and I've lived most of my life there.,,,
1,You visited other countries other than the UAE and Moldova?,Yes. I've actually had an exchange year abroad before Abu Dhabi. I've been... I lived in Wisconsin for a year and after studying at NYU Abu Dhabi I got a chance to study abroad in Buenos Aires and New York for a semester each and then I did a month in Paris and a month in Shanghai.,,,,,
1,Which one's your favorite or most memorable I guess?,My favorite place ever is New York. I just see myself there in the future but I never actually think of myself as finding one place and living there all my life. I feel like I would never be able to live more than 10 years in the same place though.,"New York was definitely my most favorite place on earth and that's why I hope that in the future I'll be able to go back but I will have to sort out the visa issue and all that because I have... hum, I am a citizen of Moldova which is not the European Union so it will be tough to get a visa.",,,,
1,10 years is still a long time I guess.,Yeah. But not for other people. Traditionally no ... People live their whole lives in the same place.,,,,,
1,What about New York that just stands out for you?,"I feel like New York is very vibrant. Everything is happening there. It's the hub of music, both the music industry and the finance world. Exactly and just I love the architecture. It's very it's quite futuristic even though some people might say it's dirty in some places but I love that it's always awake and people aren't overly polite nor actually overly rude because Eastern Europeans are quite cold in general. So I felt like it was a great balance. And there are many many people and so many diverse people and languages and so many cultures.",,,,,
1,So what else can I ask you about?,So you can ask me about my family or my career plans or the sports that I like or anything.,You can ask me about my family or about my passions. Anything you want.,"You can ask me about my passions, my family, my career plans... Anything.",,,
1,So your career plans. What do you plan doing after graduating? What is plan A?,I'm thinking of either doing a masters degree or applying for jobs for consulting. I'm applying right now and I'm also thinking of getting maybe a job composing music and being a sound engineer. But that's my third preference.,"After I graduate. I have many different plans, either to continue my studies at grad school and get my masters degree or go into consulting or get a job in the music industry, hopefully composition and technology.",I was thinking of getting an MBA - Masters of Business Administration - so I could combine my music and econ knowledge and hopefully restructure the music industry of Moldova in the future. So an MBA would help me a lot.,,,
1,And your graduate degree would be in music or economics?,I'm hoping to get an MBA.,I was thinking of getting an MBA - Masters of Business Administration - so I could combine my music and econ knowledge and hopefully restructure the music industry of Moldova in the future. So an MBA would help me a lot.,"I think the MBA would give me a chance to do anything I want in the future. Because I just specialized into a field, in music, and I've done some economics as well. So I feel like I have enough quantitative knowledge to jump into an MBA but also it will help me use my music knowledge into creating maybe a business or solidify the music industry of Moldova.",,,
1,I mean you could combine both I guess. What do you think about doing both at the same time?,"I think the MBA would give me a chance to do anything I want in the future. Because I just specialized into a field, in music, and I've done some economics as well. So I feel like I have enough quantitative knowledge to jump into an MBA but also it will help me use my music knowledge into creating maybe a business or solidify the music industry of Moldova.",,,,,
1,Or creating your own productions to do...,Exactly I could do anything.,Yes.,,,,
1,Tell me about your family. Do you have any siblings?,"So my family consists of four people. It's my mom, my dad and my brother. My brother is five years older and he is a computer scientist and he's in Moldova right now.","Sooo... my family consists of four people. Me, my mom, my dad, and an older brother. And yes I have a sibling. He's five years older than me and he is a computer scientist and he is still in Moldova.",,,,
1,Are any of your family also interested in music as well?,"Not exactly, none of my parents like ... or do anything in music per se. They had some musical education, but not much. And my my dad's kinda working in the law, my mom's a doctor, my brother is doing CS and so I just basically have a broad family. I'm very interested in negotiating.",,,,,
1,You said your brother is CS. Is he a programmer? Or is he more on the academic side?,"My brother's a software developer. When he was like 13 and I was 8, he was already creating software for me to cheat on Web sites of games to have the highest score. So it kind of started there and every year something else would come up that I needed help with and he would help me out.",,,,,
1,Would you say you discovered electronic music production or something though him or was it something on your own?,He doesn't actually like music as heavy as I do. I always loved music and it kind of went into this uniqueness of all these things.,"Not exactly, none of my parents like ... or do anything in music per se. They had some musical education, but not much. And my my dad's kinda working in the law, my mom's a doctor, my brother is doing CS and so I just basically have a broad family. I'm very interested in negotiating.",,,,
1,It was nice meeting you.,It was so nice to meet you too! Thank you for talking to me!,Nice to meet you too.,So nice to meet you too! Thanks for asking me questions!,,,
2,So my name's Salam. I work in the computational linguistics lab in the computer science. And I'm going to ask you some questions today to get to know you.,Nice to meet you.,Hi!,,,,
2,Thank you. So what's your name?,I am Margarita.,I am Margarita.,My name is Margarita.,,,
2,Nice to meet you.,Nice to meet you too.,So nice to meet you too! Thanks for asking me questions!,,,,
2,Do you study here?,I go to NYU Abu Dhabi.,So I'm a student at NYU Abu Dhabi. I'm a senior.,,,,
2,OK.,What about you?,,,,,
2,I finish my studies but I work here.,OK.,That's cool.,,,,
2,Yes. Where where are you from?,I am from Moldova. It's a small country in Eastern Europe between Romania and Ukraine.,So I'm originally from Moldova which is an Eastern European country. It's between Romania and Ukraine and I've lived most of my life there.,,,,
2,"OK, nice. How long have you been here?",I've been here for four years. This is my senior year.,,,,,
2,It's nice. What was your major?,I study music and economics. So in music I study composition and technology and economics is just my minor.,I'm a music major and economics minor.,,,,
2,Oh that's nice.,Thank you!,Yes.,,,,
2,So have you had any programming courses?,"I took one Intro to Computer Science class. I studied a little bit of Python and that was great, but I had to pass fail the class because I wasn't doing as great as I thought I would. My brother's a computer scientist as well.",I have used the programming in the way that I used python for one of my business classes in Negotiating because I would have to negotiate deals with people and I would have to manipulate big numbers right away and I did not have time for that. So I created my own calculator through Python that would do that for me.,,,,
2,That's nice. So I think that you have infused programming in your... I don't know - New projects throughout since you studied music technology composition.,I have used the programming in the way that I used python for one of my business classes in Negotiating because I would have to negotiate deals with people and I would have to manipulate big numbers right away and I did not have time for that. So I created my own calculator through Python that would do that for me.,Yes.,,,,
2,Oh that's impressive.,Thank you.,Yes.,,,,
2,So are you... Did you start your Capstone?,"So my capstone ... I started my capstone since the beginning of fall and it is... it will be about combining Romanian music with Dubstep music, composing both and combining them.",So my capstone will be about me composing a piece of music that combines elements of Romanian Folk Music and Dubstep.,Yes I'm a senior now. I'm working on my capstone.,,,
2,"I was about to ask, are you going to use any of your cultural background in your capstone... What about languages? How many languages do you speak?",I speak five languages. So my first language is Romanian and Russian. And then I learned French and English at school and recently I learned Spanish.,I speak five languages.,,,,
2,"Oh, nice. Have You learned Arabic?",I did not have time to learn Arabic. It's a beautiful language and I wish I studied it.,,,,,
2,Indeed. And what do you think of Arabic music?,"I think Arabic music is very intricate and it sounds exotic to me... Because I do not know that much about it, but I think it is very rich and beautiful.",I love all types of music. I feel like it depends on the piece. I love dubstep. I love electronic music. I also like ballads like the music that I write usually comes out very sad and romantic and like pop songs. So the music I write and the music I listen to are quite different.,,,,
2,OK. And what you want to do after you graduate?,"After I graduate. I have many different plans, either to continue my studies at grad school and get my masters degree or go into consulting or get a job in the music industry, hopefully composition and technology.","I'm planning to go to grad school in New York, with the only grad school I'm applying and I do not see my future in Moldova. I see myself maybe passing through from time to time to see my family and friends but I would rather bring my family my small family of four people with me abroad than have to come back home.","I am thinking to either go to grad school, do a master's degree or get a job in consulting or get a job in the music industry as a composer or sound engineer.",,,
2,And what would you do if you work in the consulting industry?,I would just do whatever that job is supposed to do... I would be solving problems of other companies. I like consulting particularly because I love interacting with people and I have a very problem solving oriented mindset and I love helping out so I feel like it would be a good match for me even though I focused on music until now.,,,,,
2,That's nice.,Thank you.,,,,,
2,And what master would you get if you go into grad school?,I was thinking of getting an MBA - Masters of Business Administration - so I could combine my music and econ knowledge and hopefully restructure the music industry of Moldova in the future. So an MBA would help me a lot.,I'm hoping to get an MBA.,,,,
2,That's nice. So are you planning to go to grad school back in Moldova? If you go.,"I'm planning to go to grad school in New York, with the only grad school I'm applying and I do not see my future in Moldova. I see myself maybe passing through from time to time to see my family and friends but I would rather bring my family my small family of four people with me abroad than have to come back home.",,,,,
2,It's nice. What else can I ask you about?,You can ask me about my family or about my passions. Anything you want.,You can ask me about my family or about my passions. Anything you want.,So you can ask me about my family or my career plans or the sports that I like or anything.,,,
2,Do you have siblings who study in New York or Abu Dhabi?,I have a sibling. He is five years older. He is a computer scientist and he lives in Moldova.,"My brother used to know somebody who went here because they went through the same exchange program and actually my brother wanted to go here first, but my parents were afraid of the situation in the Middle East. As religious Eastern European middle aged parents they did not know that much about the Middle East and they were worried about their kids, but once that guy graduated and it was my time to fly I got to ask him all the questions and I knew that it's safe and it's actually a great place to be so...",,,,
2,OK. And I assume the others are younger than you.,I only have one sibling.,"Sooo... my family consists of four people. Me, my mom, my dad, and an older brother. And yes I have a sibling. He's five years older than me and he is a computer scientist and he is still in Moldova.",,,,
2,"Oh okay, sorry..",No worries... What about you?,,,,,
2,My siblings?,Sure!,Yes.,Sure!,,,
2,I have two siblings a brother and sister.,That's cool.,Oh yeah.,,,,
2,Yes. So have you been to different places in the UAE?,I have been to only Abu Dabi and Dubai.,,,,,
2,All those four years?,"I wish I could see more places, but I'm not too crazy about visiting places for a brief period of time. I prefer that if I go somewhere that I spend at least half a year there or at least a month and so I am not quite passionate about short trips because they exhaust me, so I guess... I don't hate them. I don't have the incentive to do it.",,,,,
2,So where did you go for your study away semester?,For my study aways I've been to Buenos Aires and New York.,I was studying abroad in Buenos Aires on my third semester and Spanish is quite close to the Romanian roots. It's a Latin language. So I picked it up while living with people who don't speak English at all. And I improved with Duolingo and my classes. So I learned it that semester.,,,,
2,"Oh, nice.",But I've done J-terms in Shanghai and Paris.,,,,,
2,"Uh, nice! Did You like .. Which was your most favorite place of all of those places?","New York was definitely my most favorite place on earth and that's why I hope that in the future I'll be able to go back but I will have to sort out the visa issue and all that because I have... hum, I am a citizen of Moldova which is not the European Union so it will be tough to get a visa.","I feel like New York is very vibrant. Everything is happening there. It's the hub of music, both the music industry and the finance world. Exactly and just I love the architecture. It's very it's quite futuristic even though some people might say it's dirty in some places but I love that it's always awake and people aren't overly polite nor actually overly rude because Eastern Europeans are quite cold in general. So I felt like it was a great balance. And there are many many people and so many diverse people and languages and so many cultures.",My favorite place ever is New York. I just see myself there in the future but I never actually think of myself as finding one place and living there all my life. I feel like I would never be able to live more than 10 years in the same place though.,,,
2,Inshallah,Thanks,,,,,
2,hum ....,No Worries. Take your time.,,,,,
2,How is the weather like in Moldova?,"In Moldova we have all types of weather. We have four seasons and it gets from minus 20 degrees Celsius to 40. So we have a huge range and we experience all seasons - Summer, Fall, Winter, Spring. So I miss that.",,,,,
2,Okay. Did you think of going to other schools before coming to New York or Abu Dhabi?,"Funny enough I have only considered going to NYU Abu Dhabi. And since the application time was so early I applied right away in the first candidates weekend and I was planning that if I do not get in I would start thinking of other choices. But I was so lucky, I got in and I'm here now.",,,,,
2,And how did you know about the place?,Of NYU Abu Dhabi?,,,,,
2,Yes.,"My brother used to know somebody who went here because they went through the same exchange program and actually my brother wanted to go here first, but my parents were afraid of the situation in the Middle East. As religious Eastern European middle aged parents they did not know that much about the Middle East and they were worried about their kids, but once that guy graduated and it was my time to fly I got to ask him all the questions and I knew that it's safe and it's actually a great place to be so...",,,,,
2,Nice. And Have your parents visit you here?,"Actually yes, my family visited me last year in fall break. My brother and I saved up money to cover their flights and accommodation and we were able to bring them here because the salary discrepancy is huge. You know, a small economy like Moldova and with how much they make there they wouldn't be able to come.",Yes.,,,,
2,And did they like it here?,"They loved it! Yes, and they looked so out of place and looking everywhere and making comments about things that I have never thought of. And it was it was fun. They were pretty kind and open minded about different cultures which I was very happy about that, I didn't know how they would react.",,,,,
2,And what about the food. Do you like the food here or...?,Do you mean if I like Arabic food or the NYUAD food?,,,,,
2,"Hu.. no, the Arabic food.","Sometimes it is little more spicy than what I'm used to. And I have a very sensitive sense of taste and smell. So for me the foods that can be bland to you will be quite rich, but something that would be normal to you is too spicy for me. But in general if I tone it down a bit it's very delicious.",,,,,
2,And what's the cuisine like in Moldova?,"So Moldova used to be part of Romania and the Russia - Soviet Union. So the foods are combined from all over the place. We have some Romanian food. We have some Russian food. I feel like even some Turkish things were combined in there and so we eat a lot of soups and we eat a lot of grains like rice as well, but cooked and not bland white. And the western food is everywhere.",,,,,
2,"Do you miss the food, the Moldovian cuisine?","I used to more then, but now I got so used to just changing my diet depending on where I am at that time. And also I found some place where we can eat Russian food and the dining hall is also making Russian food from time to time... so I don't miss it that much.",,,,,
2,And are you a coffee person or a tea person?,"I love that question! hum... Both! I love tea because you can drink it as much as you want and feel fancy. I love coffee for its taste and smell more than its properties of keeping you awake - it doesn't work with me, but it's all about taste and I love both.",,,,,
2,It's nice. Have you tried Arabic coffee?,Yes. Arabic coffee is so strong for me so I have to dilute it. But it's very tasty and I love the tradition of - you know - small cups and stuff... I love it.,Sure!,,,,
2,Well nice to meet you.,So nice to meet you too! Thanks for asking me questions!,Nice to meet you too.,Thank you! It was nice to talk to you.,,,
2,Hi.,Hi!,Hi.,,,,
3,What's your name?,My name is Margarita.,I am Margarita.,,,,
3,Nice to meet you,And what's your name?,Nice to meet you too.,Nice to meet you.,,,
3,I'm Fadhl.,Nice to meet you too,Nice to meet you too.,Nice to meet you.,,,
3,Where Are you from.,"I'm from Moldova, a small country in Eastern Europe.",,,,,
3,OK. What does it border?,Moldova's borders are Romania and Ukraine and sandwiched. It's landlocked.,Moldova borders Romania and Ukraine. And Moldova... We used to be part of Romania before it was also colonized by Russia and then we got united back to Romania and then was kind of the Soviet Union. So now we do speak both Romanian and Russian.,,,,
3,"Yeah, OK, OK. What can I ask you about?","You can ask me about my passions, my family, my career plans... Anything.",You can ask me about my family or about my passions. Anything you want.,You can ask me about sports that I like. Or you can ask me about...,,,
